"customerid","last_purcahsed_day","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","segment"
"14782.0","24","5247","1","200.10",1,1,1,"111","At Risk"
"15052.0","24","5247","1","215.78",1,1,1,"111","At Risk"
"14439.0","24","5247","1","2661.24",1,2,5,"125","At Risk"
"14368.0","24","5247","1","155.00",1,1,1,"111","At Risk"
"13551.0","24","5247","1","91.80",1,2,1,"121","At Risk"
"14130.0","24","5247","1","483.86",1,2,3,"123","At Risk"
"15222.0","25","5246","1","585.00",1,2,3,"123","At Risk"
"16222.0","25","5246","1","846.72",1,2,3,"123","At Risk"
"14248.0","25","5246","1","302.58",1,1,2,"112","At Risk"
"13002.0","25","5246","1","120.95",1,1,1,"111","At Risk"
"17094.0","25","5246","2","270.20",1,2,2,"122","At Risk"
"13703.0","25","5246","1","99.50",1,1,1,"111","At Risk"
"15213.0","25","5246","3","325.05",1,3,2,"132","Others"
"16757.0","25","5246","1","106.83",1,1,1,"111","At Risk"
"15661.0","26","5245","2","309.80",1,2,2,"122","At Risk"
"17118.0","26","5245","1","157.02",1,1,1,"111","At Risk"
"12591.0","26","5245","1","452.85",1,2,2,"122","At Risk"
"13328.0","27","5244","1","1308.48",1,2,4,"124","At Risk"
"12764.0","27","5244","1","1693.88",1,2,4,"124","At Risk"
"16124.0","27","5244","2","187.15",1,2,1,"121","At Risk"
"12735.0","28","5243","2","779.57",1,3,3,"133","Others"
"12377.0","28","5243","2","1628.12",1,2,4,"124","At Risk"
"12574.0","28","5243","1","218.45",1,1,1,"111","At Risk"
"12501.0","28","5243","2","2089.68",1,2,5,"125","At Risk"
"13161.0","30","5241","1","112.75",1,1,1,"111","At Risk"
"17431.0","30","5241","1","403.30",1,2,2,"122","At Risk"
"17062.0","30","5241","5","534.47",1,4,3,"143","Others"
"15415.0","30","5241","1","572.81",1,2,3,"123","At Risk"
"18095.0","31","5240","2","580.05",1,2,3,"123","At Risk"
"17239.0","31","5240","2","379.95",1,3,2,"132","Others"
"15448.0","31","5240","1","494.64",1,2,3,"123","At Risk"
"13600.0","31","5240","1","219.52",1,1,1,"111","At Risk"
"15881.0","31","5240","8","438.24",1,5,2,"152","Others"
"13506.0","31","5240","3","452.82",1,3,2,"132","Others"
"17619.0","31","5240","1","218.52",1,1,1,"111","At Risk"
"13615.0","31","5240","2","399.99",1,3,2,"132","Others"
"14627.0","1","5239","1","-21.85",1,1,1,"111","At Risk"
"15940.0","1","5239","2","31.80",1,2,1,"121","At Risk"
"14549.0","1","5239","1","289.24",1,1,2,"112","At Risk"
"17356.0","1","5239","1","178.22",1,1,1,"111","At Risk"
"14850.0","1","5239","2","278.15",1,2,2,"122","At Risk"
"14496.0","1","5239","2","538.81",1,2,3,"123","At Risk"
"12373.0","1","5239","1","364.60",1,1,2,"112","At Risk"
"13494.0","1","5239","1","316.26",1,1,2,"112","At Risk"
"15107.0","1","5239","8","247.66",1,5,2,"152","Others"
"15226.0","2","5238","1","154.41",1,1,1,"111","At Risk"
"14457.0","2","5238","1","113.64",1,1,1,"111","At Risk"
"14411.0","2","5238","1","1063.00",1,1,4,"114","At Risk"
"17223.0","2","5238","2","426.79",1,2,2,"122","At Risk"
"12559.0","2","5238","3","536.21",1,3,3,"133","Others"
"12350.0","2","5238","1","334.40",1,1,2,"112","At Risk"
"17912.0","2","5238","6","295.61",1,4,2,"142","Others"
"13581.0","3","5237","1","118.00",1,1,1,"111","At Risk"
"13800.0","3","5237","1","558.32",1,2,3,"123","At Risk"
"16030.0","3","5237","1","331.24",1,1,2,"112","At Risk"
"13963.0","4","5236","4","664.54",1,4,3,"143","Others"
"17291.0","4","5236","1","550.80",1,2,3,"123","At Risk"
"17517.0","4","5236","1","153.94",1,1,1,"111","At Risk"
"17226.0","4","5236","1","393.49",1,2,2,"122","At Risk"
"15090.0","4","5236","1","381.32",1,2,2,"122","At Risk"
"13584.0","6","5234","1","142.40",1,1,1,"111","At Risk"
"12956.0","6","5234","1","108.07",1,1,1,"111","At Risk"
"17392.0","6","5234","2","457.91",1,2,2,"122","At Risk"
"15808.0","6","5234","5","3724.77",1,4,5,"145","Others"
"14438.0","6","5234","1","131.90",1,1,1,"111","At Risk"
"13809.0","7","5233","1","155.05",1,1,1,"111","At Risk"
"14600.0","7","5233","1","393.33",1,2,2,"122","At Risk"
"15753.0","8","5232","1","79.20",1,2,1,"121","At Risk"
"17859.0","8","5232","1","148.21",1,1,1,"111","At Risk"
"17881.0","8","5232","1","133.35",1,1,1,"111","At Risk"
"12401.0","9","5231","1","84.30",1,2,1,"121","At Risk"
"15843.0","9","5231","1","118.95",1,1,1,"111","At Risk"
"17358.0","9","5231","2","365.85",1,3,2,"132","Others"
"17843.0","9","5231","1","205.48",1,1,1,"111","At Risk"
"15970.0","9","5231","1","314.10",1,1,2,"112","At Risk"
"16725.0","10","5230","8","775.07",1,5,3,"153","Others"
"12561.0","10","5230","1","238.85",1,1,2,"112","At Risk"
"13706.0","10","5230","1","330.79",1,1,2,"112","At Risk"
"16425.0","10","5230","1","302.70",1,1,2,"112","At Risk"
"17850.0","10","5230","35","5288.63",1,5,5,"155","Others"
"16405.0","10","5230","2","167.25",1,3,1,"131","Others"
"16403.0","10","5230","2","161.05",1,3,1,"131","Others"
"12505.0","11","5229","1","-4.50",1,2,1,"121","At Risk"
"15638.0","11","5229","1","-94.00",1,1,1,"111","At Risk"
"17334.0","11","5229","3","306.60",1,3,2,"132","Others"
"18250.0","11","5229","2","342.92",1,3,2,"132","Others"
"12410.0","11","5229","3","681.08",1,3,3,"133","Others"
"14497.0","11","5229","2","457.47",1,2,2,"122","At Risk"
"12943.0","11","5229","1","-3.75",1,2,1,"121","At Risk"
"18159.0","11","5229","1","530.15",1,2,3,"123","At Risk"
"13672.0","11","5229","6","-71.46",1,4,1,"141","Others"
"13819.0","11","5229","3","1140.35",1,3,4,"134","Others"
"16897.0","13","5227","3","213.03",1,3,1,"131","Others"
"16084.0","13","5227","1","436.18",1,2,2,"122","At Risk"
"17829.0","14","5226","1","889.24",1,2,3,"123","At Risk"
"14431.0","14","5226","2","397.76",1,3,2,"132","Others"
"15236.0","14","5226","1","321.05",1,1,2,"112","At Risk"
"14935.0","15","5225","1","1784.71",1,2,4,"124","At Risk"
"16738.0","15","5225","1","3.75",1,2,1,"121","At Risk"
"14176.0","15","5225","5","574.00",1,4,3,"143","Others"
"13893.0","15","5225","1","821.10",1,2,3,"123","At Risk"
"16148.0","16","5224","1","76.32",1,2,1,"121","At Risk"
"16509.0","16","5224","1","363.70",1,1,2,"112","At Risk"
"16494.0","16","5224","1","826.53",1,2,3,"123","At Risk"
"15670.0","16","5224","1","173.05",1,1,1,"111","At Risk"
"14386.0","16","5224","1","142.40",1,1,1,"111","At Risk"
"14371.0","17","5223","1","100.50",1,1,1,"111","At Risk"
"18138.0","17","5223","1","152.65",1,1,1,"111","At Risk"
"16765.0","18","5222","1","34.00",1,2,1,"121","At Risk"
"14760.0","18","5222","2","53.80",1,3,1,"131","Others"
"13932.0","18","5222","1","307.40",1,1,2,"112","At Risk"
"12988.0","20","5220","1","535.32",1,2,3,"123","At Risk"
"12365.0","21","5219","3","320.69",1,3,2,"132","Others"
"16073.0","21","5219","2","94.35",1,2,1,"121","At Risk"
"13044.0","21","5219","1","560.47",1,2,3,"123","At Risk"
"12707.0","21","5219","1","603.42",1,2,3,"123","At Risk"
"16546.0","22","5218","3","-95.93",1,3,1,"131","Others"
"18114.0","22","5218","1","220.10",1,1,1,"111","At Risk"
"16349.0","22","5218","1","53.50",1,2,1,"121","At Risk"
"15303.0","22","5218","1","574.02",1,2,3,"123","At Risk"
"16913.0","22","5218","1","113.44",1,1,1,"111","At Risk"
"12852.0","22","5218","2","299.75",1,2,2,"122","At Risk"
"18068.0","23","5217","1","101.70",1,1,1,"111","At Risk"
"17499.0","23","5217","1","622.88",1,2,3,"123","At Risk"
"15590.0","23","5217","1","-30.19",1,1,1,"111","At Risk"
"15397.0","23","5217","1","94.00",1,2,1,"121","At Risk"
"17171.0","23","5217","1","224.91",1,1,1,"111","At Risk"
"16072.0","24","5216","1","584.32",1,2,3,"123","At Risk"
"16997.0","24","5216","3","702.00",1,3,3,"133","Others"
"13751.0","24","5216","1","296.25",1,1,2,"112","At Risk"
"18056.0","24","5216","1","363.65",1,1,2,"112","At Risk"
"17117.0","24","5216","1","116.20",1,1,1,"111","At Risk"
"12945.0","24","5216","1","462.95",1,2,2,"122","At Risk"
"15543.0","24","5216","1","127.86",1,1,1,"111","At Risk"
"13973.0","25","5215","1","264.70",1,1,2,"112","At Risk"
"13753.0","25","5215","1","741.26",1,2,3,"123","At Risk"
"12361.0","25","5215","1","189.90",1,1,1,"111","At Risk"
"13684.0","27","5213","2","64.23",1,3,1,"131","Others"
"14046.0","28","5212","1","154.99",1,1,1,"111","At Risk"
"12509.0","28","5212","1","176.50",1,1,1,"111","At Risk"
"17165.0","28","5212","1","158.68",1,1,1,"111","At Risk"
"16339.0","28","5212","1","109.95",1,1,1,"111","At Risk"
"14036.0","28","5212","1","626.65",1,2,3,"123","At Risk"
"16078.0","1","5211","1","79.20",1,2,1,"121","At Risk"
"12866.0","1","5211","1","559.12",1,2,3,"123","At Risk"
"15709.0","1","5211","1","133.25",1,1,1,"111","At Risk"
"15456.0","1","5211","3","447.22",1,3,2,"132","Others"
"15319.0","1","5211","1","204.50",1,1,1,"111","At Risk"
"13497.0","2","5210","3","321.05",1,3,2,"132","Others"
"12834.0","2","5210","1","312.38",1,1,2,"112","At Risk"
"16792.0","2","5210","2","110.38",1,3,1,"131","Others"
"12873.0","2","5210","1","374.00",1,2,2,"122","At Risk"
"17923.0","2","5210","1","207.50",1,1,1,"111","At Risk"
"15733.0","2","5210","1","162.30",1,1,1,"111","At Risk"
"13166.0","2","5210","2","414.70",1,3,2,"132","Others"
"15087.0","3","5209","1","306.94",1,1,2,"112","At Risk"
"12817.0","3","5209","1","166.04",1,1,1,"111","At Risk"
"17789.0","3","5209","1","225.90",1,1,1,"111","At Risk"
"15257.0","3","5209","2","232.15",1,2,1,"121","At Risk"
"13715.0","3","5209","8","1053.94",1,5,4,"154","Others"
"17995.0","3","5209","1","76.10",1,2,1,"121","At Risk"
"12565.0","3","5209","2","131.17",1,3,1,"131","Others"
"16159.0","3","5209","1","348.20",1,1,2,"112","At Risk"
"14570.0","4","5208","2","218.06",1,2,1,"121","At Risk"
"13382.0","4","5208","1","222.99",1,1,1,"111","At Risk"
"14670.0","4","5208","2","411.53",1,3,2,"132","Others"
"14779.0","4","5208","3","386.15",1,3,2,"132","Others"
"17508.0","4","5208","1","387.31",1,2,2,"122","At Risk"
"17325.0","4","5208","1","96.80",1,1,1,"111","At Risk"
"17535.0","4","5208","1","164.40",1,1,1,"111","At Risk"
"14247.0","6","5206","1","136.77",1,1,1,"111","At Risk"
"14048.0","7","5205","2","375.13",1,3,2,"132","Others"
"12614.0","7","5205","1","315.60",1,1,2,"112","At Risk"
"15554.0","7","5205","1","217.20",1,1,1,"111","At Risk"
"16517.0","7","5205","1","162.70",1,1,1,"111","At Risk"
"16598.0","7","5205","2","140.70",1,3,1,"131","Others"
"17654.0","7","5205","1","117.55",1,1,1,"111","At Risk"
"14012.0","7","5205","1","328.80",1,1,2,"112","At Risk"
"18280.0","7","5205","1","180.60",1,1,1,"111","At Risk"
"15869.0","7","5205","2","149.64",1,3,1,"131","Others"
"12623.0","8","5204","1","305.10",1,1,2,"112","At Risk"
"17639.0","8","5204","1","108.50",1,1,1,"111","At Risk"
"13345.0","8","5204","2","377.60",1,3,2,"132","Others"
"15234.0","8","5204","1","197.00",1,1,1,"111","At Risk"
"16917.0","8","5204","1","391.52",1,2,2,"122","At Risk"
"15944.0","8","5204","1","325.10",1,1,2,"112","At Risk"
"15057.0","9","5203","2","1489.50",1,3,4,"134","Others"
"14165.0","9","5203","1","122.54",1,1,1,"111","At Risk"
"12881.0","9","5203","1","298.00",1,1,2,"112","At Risk"
"13493.0","9","5203","2","618.63",1,3,3,"133","Others"
"17138.0","9","5203","1","380.50",1,2,2,"122","At Risk"
"18086.0","10","5202","1","101.34",1,1,1,"111","At Risk"
"16625.0","10","5202","1","333.08",1,1,2,"112","At Risk"
"14603.0","10","5202","1","660.00",1,2,3,"123","At Risk"
"14727.0","10","5202","1","268.58",1,1,2,"112","At Risk"
"16471.0","10","5202","1","223.95",1,1,1,"111","At Risk"
"13133.0","11","5201","2","109.80",1,3,1,"131","Others"
"15049.0","11","5201","1","121.17",1,1,1,"111","At Risk"
"16766.0","11","5201","2","1145.60",1,3,4,"134","Others"
"14114.0","11","5201","2","386.53",1,3,2,"132","Others"
"17194.0","11","5201","2","262.62",1,2,2,"122","At Risk"
"13226.0","11","5201","1","108.21",1,1,1,"111","At Risk"
"13708.0","13","5199","1","296.88",1,1,2,"112","At Risk"
"15308.0","14","5198","2","302.27",1,2,2,"122","At Risk"
"14350.0","14","5198","2","258.70",1,2,2,"122","At Risk"
"14962.0","14","5198","1","126.70",1,1,1,"111","At Risk"
"15388.0","14","5198","1","140.54",1,1,1,"111","At Risk"
"15047.0","15","5197","1","343.62",1,1,2,"112","At Risk"
"17542.0","15","5197","1","170.75",1,1,1,"111","At Risk"
"16037.0","15","5197","3","855.02",1,3,3,"133","Others"
"16061.0","15","5197","1","-29.95",1,1,1,"111","At Risk"
"13121.0","15","5197","2","254.73",1,2,2,"122","At Risk"
"13716.0","15","5197","1","138.28",1,1,1,"111","At Risk"
"16392.0","15","5197","1","221.19",1,1,1,"111","At Risk"
"13358.0","16","5196","1","439.03",1,2,2,"122","At Risk"
"13299.0","16","5196","1","142.50",1,1,1,"111","At Risk"
"16152.0","16","5196","1","1829.04",1,2,4,"124","At Risk"
"13261.0","16","5196","2","944.10",1,3,4,"134","Others"
"13093.0","17","5195","13","7741.47",1,5,5,"155","Others"
"12514.0","17","5195","1","1017.68",1,1,4,"114","At Risk"
"13185.0","17","5195","1","71.40",1,2,1,"121","At Risk"
"16377.0","17","5195","1","676.20",1,2,3,"123","At Risk"
"16976.0","17","5195","1","251.52",1,1,2,"112","At Risk"
"14081.0","17","5195","4","904.67",1,4,3,"143","Others"
"16216.0","17","5195","1","914.93",1,2,4,"124","At Risk"
"12845.0","17","5195","4","354.09",1,4,2,"142","Others"
"14840.0","17","5195","1","62.85",1,2,1,"121","At Risk"
"13216.0","17","5195","1","333.74",1,1,2,"112","At Risk"
"13707.0","17","5195","2","806.41",1,3,3,"133","Others"
"16716.0","18","5194","3","319.80",1,3,2,"132","Others"
"13072.0","18","5194","1","177.15",1,1,1,"111","At Risk"
"15019.0","18","5194","1","266.00",1,1,2,"112","At Risk"
"14155.0","18","5194","1","118.75",1,1,1,"111","At Risk"
"17060.0","18","5194","1","234.24",1,1,1,"111","At Risk"
"14066.0","18","5194","1","152.55",1,1,1,"111","At Risk"
"15695.0","18","5194","2","409.98",1,3,2,"132","Others"
"14633.0","18","5194","1","344.90",1,1,2,"112","At Risk"
"14041.0","18","5194","1","141.41",1,1,1,"111","At Risk"
"14059.0","18","5194","1","183.60",1,1,1,"111","At Risk"
"15703.0","20","5192","1","211.50",1,1,1,"111","At Risk"
"16096.0","20","5192","1","320.62",1,1,2,"112","At Risk"
"17230.0","20","5192","11","3466.67",1,5,5,"155","Others"
"15408.0","20","5192","1","267.18",1,1,2,"112","At Risk"
"12902.0","20","5192","1","138.68",1,1,1,"111","At Risk"
"15445.0","20","5192","1","113.50",1,1,1,"111","At Risk"
"16402.0","20","5192","2","299.60",1,2,2,"122","At Risk"
"14693.0","20","5192","1","172.90",1,1,1,"111","At Risk"
"13934.0","21","5191","1","922.10",1,1,4,"114","At Risk"
