"customerid","last_purcahsed_day","recency","frequency","monetary"
"12605.0","9","5293","1","-7.50"
"12607.0","12","4986","2","0.00"
"12609.0","22","5006","3","1126.85"
"12610.0","17","4950","7","2057.99"
"12611.0","18","4980","1","1193.32"
"12612.0","13","4985","2","643.59"
"12613.0","8","4959","6","3218.98"
"12614.0","7","5205","1","315.60"
"12615.0","7","4930","4","2291.19"
"12616.0","15","5013","5","657.25"
"12617.0","10","4957","1","355.53"
"12618.0","18","4949","1","177.31"
"12619.0","23","4944","13","3214.81"
"12620.0","25","4942","3","1339.41"
"12621.0","8","4929","23","13612.07"
"12622.0","21","5160","1","180.10"
"12623.0","8","5204","1","305.10"
"12624.0","25","5034","2","641.13"
"12625.0","12","5139","3","2614.32"
"12626.0","16","4951","13","6388.35"
"12627.0","29","4938","7","4478.53"
"12628.0","5","4932","4","769.61"
"12630.0","30","4937","2","1270.88"
"12631.0","13","4985","1","640.50"
"12633.0","12","4986","5","2140.63"
"12635.0","11","5017","2","1689.18"
"12637.0","3","4995","10","5953.25"
"12638.0","6","4961","1","671.69"
"12639.0","15","5166","1","486.10"
"12640.0","16","4951","3","1174.58"
"12641.0","16","5043","1","185.90"
"12642.0","14","4953","3","1013.26"
"12643.0","3","5056","6","3344.64"
"12644.0","2","5057","1","477.91"
"12645.0","6","4961","5","1755.38"
"12646.0","5","4932","2","1346.97"
"12647.0","17","4950","13","3669.92"
"12648.0","8","5082","1","318.05"
"12649.0","24","5035","4","603.71"
"12650.0","6","4931","1","314.44"
"12651.0","9","5262","1","114.00"
"12652.0","21","5250","2","914.53"
"12653.0","14","5076","2","2209.85"
"12654.0","29","4938","5","601.98"
"12656.0","22","4945","8","3982.72"
"12657.0","28","4939","5","1152.06"
"12658.0","21","4946","1","686.05"
"12659.0","10","4957","1","91.68"
"12660.0","28","4939","1","245.10"
"12662.0","9","4928","12","3817.08"
"12664.0","1","4936","10","4863.88"
"12665.0","19","5252","2","61.75"
"12666.0","15","5287","1","-227.44"
"12667.0","12","4986","1","620.13"
"12668.0","2","4935","6","3743.18"
"12669.0","12","5078","4","1607.73"
"12670.0","29","4938","6","2986.15"
"12672.0","14","5257","1","225.90"
"12673.0","4","4933","2","610.52"
"12674.0","28","4939","7","1919.31"
"12676.0","15","4952","6","1331.39"
"12678.0","28","4970","13","17588.26"
"12679.0","18","4980","9","1058.67"
"12680.0","9","4928","4","862.81"
"12681.0","25","4942","27","13677.59"
"12682.0","6","4931","31","12288.22"
"12683.0","5","4932","20","8221.09"
"12684.0","2","4935","7","2283.63"
"12685.0","11","4956","6","2863.08"
"12686.0","3","5299","1","89.14"
"12688.0","18","5041","1","4873.81"
"12689.0","14","4953","2","1247.61"
"12690.0","18","5133","1","389.01"
"12691.0","11","4956","6","1035.80"
"12693.0","11","5048","6","830.96"
"12694.0","30","4998","2","869.67"
"12695.0","2","4935","4","582.10"
"12697.0","18","4949","5","939.02"
"12700.0","2","4935","6","4867.99"
"12701.0","21","5007","2","797.71"
"12702.0","20","4947","1","219.00"
"12703.0","6","4992","2","274.70"
"12704.0","2","4935","10","2220.84"
"12705.0","24","4943","14","6814.24"
"12707.0","21","5219","1","603.42"
"12708.0","10","4957","16","2616.32"
"12709.0","6","4931","26","9294.10"
"12710.0","4","5024","4","1130.57"
"12712.0","17","4950","17","4241.63"
"12713.0","9","4928","1","848.55"
"12714.0","30","4937","5","4708.86"
"12715.0","25","5034","1","353.86"
"12716.0","6","4931","2","1053.49"
"12717.0","11","5079","3","980.98"
"12718.0","29","4999","1","238.25"
"12719.0","4","4933","3","608.10"
"12720.0","7","4930","29","5713.28"
"12721.0","8","4959","7","2628.98"
"12722.0","15","5013","6","904.33"
"12723.0","6","4931","5","725.07"
"12724.0","4","4933","4","1031.41"
"12725.0","3","5299","1","427.80"
"12726.0","11","4956","7","2609.10"
"12727.0","29","4938","9","3947.70"
"12728.0","29","4999","4","836.33"
"12729.0","18","5041","1","453.01"
"12731.0","16","4951","14","18793.41"
"12732.0","13","5107","1","236.26"
"12733.0","19","5162","1","383.95"
"12734.0","22","5280","1","110.40"
"12735.0","28","5243","2","779.57"
"12736.0","11","5260","1","234.00"
"12738.0","2","5300","1","155.35"
"12739.0","22","5006","2","1013.04"
"12740.0","7","4991","1","427.60"
"12743.0","28","5062","2","546.43"
"12744.0","19","4979","10","9120.39"
"12747.0","7","4930","11","4196.01"
"12748.0","9","4928","224","29072.10"
"12749.0","6","4931","8","3868.20"
"12750.0","3","5056","1","275.88"
"12752.0","19","5009","1","4366.78"
"12753.0","6","4931","11","21024.01"
"12754.0","18","5163","5","2949.12"
"12755.0","4","5177","4","2203.20"
"12756.0","14","5014","1","112.08"
"12757.0","24","4943","19","4227.70"
"12758.0","15","5044","2","2791.59"
"12759.0","18","4980","3","1531.44"
"12762.0","2","4935","2","1898.52"
"12763.0","24","5066","2","494.08"
"12764.0","27","5244","1","1693.88"
"12766.0","6","4931","7","6989.63"
"12769.0","15","5166","1","1143.60"
"12770.0","13","5138","1","1351.45"
"12772.0","11","4987","1","892.47"
"12775.0","22","4945","6","1351.24"
"12778.0","20","4947","7","804.23"
"12779.0","18","4949","12","3868.70"
"12781.0","18","4949","5","707.72"
"12782.0","5","4932","6","2273.32"
"12783.0","7","4930","8","1603.87"
"12784.0","30","4937","2","574.42"
"12785.0","7","4930","2","305.71"
"12787.0","30","4937","3","463.66"
"12789.0","5","4993","1","91.85"
"12790.0","31","5120","1","324.92"
"12791.0","1","5301","1","192.60"
"12792.0","28","5184","1","400.54"
"12793.0","9","5262","2","545.48"
"12794.0","17","4981","2","860.41"
"12795.0","21","4946","1","430.48"
"12797.0","14","5288","3","194.18"
"12798.0","29","4938","3","6977.04"
"12802.0","9","5111","2","412.58"
"12808.0","3","4964","3","483.65"
"12809.0","24","5096","2","484.36"
"12811.0","24","5188","3","514.85"
"12812.0","26","4972","1","229.64"
"12814.0","30","5029","1","125.92"
"12815.0","15","5075","2","1063.46"
"12816.0","5","5023","2","572.20"
"12817.0","3","5209","1","166.04"
"12818.0","14","5106","2","1517.88"
"12820.0","6","4931","4","942.34"
"12821.0","9","5142","1","92.72"
"12822.0","30","4998","3","918.98"
"12823.0","26","5002","5","1759.50"
"12824.0","11","4987","1","397.12"
"12826.0","7","4930","8","1468.12"
"12827.0","4","4933","3","430.15"
"12828.0","7","4930","6","1018.71"
"12829.0","21","5250","3","253.05"
"12830.0","2","4965","7","6748.40"
"12831.0","22","5190","1","215.05"
"12832.0","7","4960","2","383.03"
"12833.0","17","5073","1","417.38"
"12834.0","2","5210","1","312.38"
"12836.0","11","4987","4","2612.86"
"12837.0","19","5101","1","134.10"
"12838.0","6","4961","2","683.13"
"12839.0","7","4930","16","5583.62"
"12840.0","19","5071","6","2714.27"
"12841.0","5","4932","26","3876.40"
"12842.0","30","4998","2","1118.99"
"12843.0","5","4993","9","1680.76"
"12844.0","10","4957","2","325.96"
"12845.0","17","5195","4","354.09"
"12847.0","17","4950","1","871.54"
"12849.0","8","4959","2","1050.89"
"12851.0","4","5024","1","135.18"
"12852.0","22","5218","2","299.75"
"12853.0","24","5035","9","1881.70"
"12854.0","22","5006","5","1289.15"
"12855.0","2","5300","1","38.10"
"12856.0","2","4935","8","2162.68"
"12857.0","13","5138","2","1106.40"
"12863.0","18","4980","2","504.20"
"12864.0","24","5066","1","147.12"
"12865.0","13","4954","3","1548.07"
"12866.0","1","5211","1","559.12"
"12867.0","13","4954","10","3986.22"
"12868.0","7","5113","6","1607.06"
"12870.0","8","5294","1","-14.90"
"12871.0","16","5012","2","380.64"
"12872.0","17","5254","2","599.97"
"12873.0","2","5210","1","374.00"
"12875.0","19","5071","2","343.23"
"12876.0","13","4985","2","2218.02"
"12877.0","6","4931","12","1535.77"
"12878.0","21","4946","3","841.64"
"12879.0","26","4972","4","552.57"
"12881.0","9","5203","1","298.00"
"12882.0","30","4937","2","1463.04"
"12883.0","15","4952","4","703.47"
"12884.0","12","5016","1","309.05"
"12885.0","7","4991","4","1158.27"
"12886.0","3","4995","3","1351.09"
"12888.0","9","5142","4","313.77"
"12890.0","15","4952","1","380.47"
"12891.0","7","5113","3","331.00"
"12893.0","9","4958","1","188.14"
"12895.0","28","4970","3","347.30"
"12897.0","19","5132","2","216.50"
"12901.0","1","4936","36","16293.10"
"12902.0","20","5192","1","138.68"
"12904.0","21","4946","2","509.58"
"12906.0","28","4939","5","2919.81"
"12908.0","12","4986","4","246.00"
"12909.0","31","4967","8","2128.83"
"12910.0","16","4951","8","3075.04"
"12912.0","7","4930","5","1662.30"
"12913.0","5","4932","5","2483.63"
"12915.0","14","5076","2","363.65"
"12916.0","24","5066","5","2982.35"
"12917.0","3","5056","1","594.00"
"12919.0","1","4936","8","1301.44"
"12920.0","22","4945","1","164.23"
"12921.0","6","4931","50","16389.74"
"12922.0","1","5089","1","405.38"
"12923.0","6","4992","1","176.97"
"12924.0","12","5016","5","929.95"
"12925.0","5","4932","2","694.05"
"12928.0","4","4963","5","2062.70"
"12929.0","9","5050","2","105.10"
"12930.0","22","5006","4","409.90"
"12931.0","18","4949","20","33462.81"
"12933.0","15","4952","4","606.28"
"12935.0","7","4930","8","2156.45"
"12936.0","22","4945","5","1012.90"
"12937.0","24","4943","4","1504.27"
"12938.0","14","4953","1","114.14"
"12939.0","6","4992","8","11581.80"
"12940.0","24","4974","4","876.29"
"12942.0","31","5059","3","683.90"
"12943.0","11","5229","1","-3.75"
"12944.0","4","4963","2","604.51"
"12945.0","24","5216","1","462.95"
"12947.0","19","5071","11","1407.29"
"12948.0","23","4944","8","2053.70"
"12949.0","9","4958","10","4143.02"
"12950.0","7","4930","3","1843.00"
"12951.0","1","4936","8","1042.07"
"12952.0","4","4933","5","1382.84"
"12953.0","30","4937","1","329.85"
"12955.0","8","4929","14","4734.26"
"12956.0","6","5234","1","108.07"
"12957.0","5","4932","12","3979.04"
"12962.0","2","4935","2","266.39"
"12963.0","1","4936","9","1841.03"
"12965.0","11","5017","1","771.91"
"12966.0","30","4937","1","160.18"
"12967.0","6","4931","4","1194.75"
"12968.0","19","5040","1","135.95"
"12970.0","2","4935","4","452.24"
"12971.0","6","4931","89","10930.26"
"12974.0","26","5125","1","144.80"
"12976.0","12","5139","1","738.60"
"12977.0","6","5084","1","39.24"
"12980.0","7","5083","12","7092.06"
"12981.0","10","4957","2","372.22"
"12982.0","14","5167","2","377.20"
"12984.0","21","4946","1","97.50"
"12985.0","9","4928","3","1215.62"
"12987.0","27","5001","3","545.00"
"12988.0","20","5220","1","535.32"
"12989.0","6","4931","19","6854.51"
"12990.0","8","4959","3","409.50"
"12991.0","16","4951","2","503.76"
"12993.0","16","4951","4","414.76"
"12994.0","5","4932","5","902.22"
"12995.0","23","5005","2","200.72"
"12997.0","17","4950","7","1197.94"
"12999.0","27","5124","3","455.88"
"13000.0","25","5034","3","534.85"
"13001.0","5","4932","15","9797.92"
"13002.0","25","5246","1","120.95"
"13003.0","26","5033","3","149.05"
"13004.0","28","4939","22","5613.43"
"13005.0","19","5101","3","468.95"
"13006.0","14","4984","1","81.57"
"13008.0","20","5251","2","178.47"
"13011.0","2","5300","1","50.55"
"13012.0","30","4937","11","1311.62"
"13013.0","8","4929","15","4786.99"
"13014.0","7","4930","16","3365.43"
"13015.0","17","4981","5","3346.28"
"13016.0","27","5001","3","789.89"
"13017.0","2","4935","1","204.00"
"13018.0","23","4944","29","7272.75"
"13021.0","5","4932","12","2584.40"
"13023.0","6","4992","2","689.90"
"13026.0","8","4929","8","936.15"
"13027.0","18","5041","6","6912.00"
"13028.0","17","4950","3","659.68"
"13029.0","9","4958","3","1247.50"
"13030.0","28","4939","2","799.48"
"13032.0","1","4966","3","996.52"
"13033.0","17","5285","1","190.55"
"13034.0","16","4982","2","642.77"
"13035.0","13","4985","3","886.63"
"13037.0","24","5066","3","881.07"
"13038.0","20","5008","3","908.46"
"13040.0","1","4936","2","676.99"
"13043.0","31","5181","2","471.57"
"13044.0","21","5219","1","560.47"
"13045.0","1","5027","1","305.28"
"13046.0","9","4958","2","629.31"
"13047.0","8","4959","18","3079.10"
"13048.0","25","4942","5","1805.91"
"13049.0","6","4992","2","656.68"
"13050.0","30","4937","28","5684.61"
"13052.0","11","5140","1","348.15"
"13055.0","6","4992","4","1201.96"
"13058.0","15","4952","3","271.40"
"13059.0","4","5177","1","183.40"
"13060.0","31","5181","1","307.53"
"13061.0","28","5000","1","248.61"
"13062.0","1","5119","1","346.98"
"13064.0","27","4940","4","1119.49"
"13065.0","1","5301","1","205.86"
"13066.0","15","4952","3","430.90"
"13067.0","18","5010","1","115.46"
"13068.0","29","4938","2","344.00"
"13069.0","9","4928","27","3717.82"
"13070.0","31","5120","1","228.80"
"13072.0","18","5194","1","177.15"
"13075.0","2","5057","1","919.61"
"13077.0","8","4929","4","729.27"
"13078.0","8","4929","43","12432.28"
"13079.0","5","4932","5","220.10"
"13080.0","13","5107","1","58.08"
"13081.0","8","4929","21","27964.48"
"13082.0","5","5054","10","3595.48"
"13083.0","5","4932","2","303.75"
"13085.0","5","5085","3","272.38"
"13089.0","7","4930","118","57385.88"
"13090.0","1","4936","18","8689.39"
"13091.0","18","4949","2","319.82"
"13092.0","30","4998","6","459.83"
"13093.0","17","5195","13","7741.47"
"13094.0","18","4949","16","1708.86"
"13095.0","30","4998","1","74.40"
"13097.0","7","4960","14","5893.32"
"13098.0","8","4929","41","28658.88"
"13099.0","1","5027","1","207.36"
"13101.0","19","5162","1","101.19"
"13102.0","8","4929","27","6336.29"
"13103.0","31","4967","1","243.94"
"13104.0","6","4931","6","1098.48"
"13106.0","3","5056","2","59.50"
"13107.0","26","4972","5","1524.07"
"13108.0","2","5300","1","350.06"
"13109.0","7","4930","5","766.84"
"13110.0","8","4959","8","1452.87"
"13113.0","9","4928","40","10510.00"
"13115.0","1","4936","14","2205.63"
"13116.0","14","5045","2","485.19"
"13117.0","18","4949","8","984.91"
"13118.0","20","4947","7","1125.00"
"13120.0","15","5166","1","30.60"
"13121.0","15","5197","2","254.73"
"13122.0","6","5022","2","922.39"
"13124.0","11","5017","3","3866.33"
"13126.0","5","4932","10","2056.29"
"13127.0","23","5005","1","259.17"
"13130.0","6","5022","1","64.00"
"13131.0","16","4951","4","1039.30"
"13132.0","23","5189","1","77.30"
"13133.0","11","5201","2","109.80"
"13134.0","28","5000","7","1740.63"
"13135.0","27","5124","1","3096.00"
"13136.0","20","4978","11","2545.38"
"13137.0","29","4938","9","3605.08"
"13138.0","17","4950","6","962.39"
"13139.0","23","4944","8","5055.79"
"13140.0","23","5036","3","423.72"
"13141.0","16","5012","6","2385.80"
"13142.0","20","4947","1","307.09"
"13144.0","11","5260","1","110.95"
"13145.0","31","4967","5","614.77"
"13146.0","13","4954","1","228.91"
"13147.0","29","4938","4","712.80"
"13148.0","10","4957","17","3348.48"
"13149.0","25","4942","4","1676.06"
"13151.0","20","5131","2","1250.37"
"13153.0","4","4933","1","486.22"
"13154.0","18","5072","1","-611.86"
"13155.0","6","4961","4","971.76"
"13157.0","21","4977","5","1721.57"
"13158.0","6","5022","4","1201.06"
"13159.0","1","4936","5","1379.75"
"13160.0","17","4950","1","91.80"
"13161.0","30","5241","1","112.75"
"13162.0","9","5050","5","1644.99"
"13165.0","24","4974","2","1021.48"
"13166.0","2","5210","2","414.70"
"13167.0","21","4946","4","791.33"
"13168.0","3","4964","5","1310.14"
"13169.0","7","4991","2","712.88"
"13170.0","13","4954","1","116.01"
"13171.0","1","4936","5","426.81"
"13173.0","5","4932","2","353.65"
"13174.0","23","4944","3","2817.03"
"13176.0","24","4974","1","492.84"
"13177.0","6","4992","1","282.45"
"13178.0","13","4954","11","5725.47"
"13182.0","25","4973","1","121.18"
"13183.0","2","4935","9","3957.78"
"13184.0","25","4942","12","1648.79"
"13185.0","17","5195","1","71.40"
"13186.0","31","4967","5","1539.69"
"13187.0","6","5265","1","236.02"
"13188.0","28","4939","1","114.60"
"13189.0","21","4946","2","260.68"
"13192.0","5","5023","2","911.94"
"13193.0","9","4989","1","117.88"
"13194.0","27","5063","1","60.70"
"13196.0","28","4939","4","1797.78"
"13198.0","29","4938","8","3384.09"
"13199.0","6","4931","39","9803.96"
"13200.0","20","4947","4","870.09"
"13203.0","30","4937","4","869.46"
"13207.0","24","4943","2","250.26"
"13208.0","12","4986","7","1205.90"
"13209.0","9","4958","11","5820.16"
"13210.0","7","5021","1","353.48"
"13211.0","29","4938","3","1197.42"
"13212.0","30","4937","4","780.58"
"13213.0","14","4984","6","1518.43"
"13216.0","17","5195","1","333.74"
"13217.0","9","5050","5","133.62"
"13218.0","4","5055","1","62.64"
"13220.0","22","5006","4","819.29"
"13221.0","13","5168","2","847.41"
"13223.0","23","5128","2","163.20"
"13224.0","10","4988","3","2150.85"
"13225.0","6","4931","8","6083.04"
"13226.0","11","5201","1","108.21"
"13227.0","22","5129","1","257.70"
"13228.0","19","5009","1","358.00"
"13229.0","28","5153","1","160.95"
"13230.0","5","4932","15","2763.41"
"13232.0","27","4940","7","1357.60"
"13233.0","26","5002","2","605.12"
"13235.0","12","5139","2","101.17"
"13236.0","15","4952","3","727.27"
"13238.0","28","4939","5","680.83"
"13239.0","23","5189","1","329.56"
"13240.0","4","5024","4","663.65"
"13242.0","19","5040","3","270.40"
"13243.0","20","5131","1","600.07"
"13244.0","8","5020","1","121.74"
"13245.0","20","4978","1","430.50"
"13246.0","21","4946","7","1922.10"
"13247.0","22","4945","4","501.12"
"13248.0","7","5052","2","465.68"
"13249.0","8","5020","3","711.41"
"13253.0","6","5084","2","1030.40"
"13255.0","6","4931","3","390.66"
"13256.0","25","4942","1","0.00"
"13258.0","28","4939","3","698.58"
"13259.0","9","4989","1","292.32"
"13260.0","9","4989","1","557.62"
"13261.0","16","5196","2","944.10"
"13262.0","21","5191","1","200.29"
"13263.0","8","4929","35","7454.07"
"13265.0","17","4981","5","2107.66"
"13266.0","28","4939","19","3717.67"
"13267.0","7","4930","27","4404.44"
"13268.0","22","4945","15","3167.64"
"13269.0","8","4929","17","5315.92"
"13270.0","8","5294","1","590.00"
"13271.0","2","4965","2","178.26"
"13272.0","8","4959","2","276.56"
"13273.0","18","5041","1","138.98"
"13276.0","7","4991","2","590.93"
"13277.0","24","4943","4","258.40"
"13278.0","30","4968","1","542.73"
"13279.0","6","4992","2","126.30"
"13280.0","9","5050","3","814.86"
"13282.0","21","4946","6","1047.84"
"13283.0","11","4987","2","93.66"
"13284.0","21","5250","2","196.15"
"13285.0","16","4951","4","2709.12"
"13291.0","7","5083","1","361.11"
"13292.0","1","4966","2","578.94"
"13294.0","3","5117","2","873.74"
"13295.0","15","5287","2","197.95"
"13296.0","25","5065","1","87.40"
"13297.0","2","4935","4","2089.85"
"13298.0","8","4929","1","360.00"
"13299.0","16","5196","1","142.50"
"13300.0","28","5092","2","365.29"
"13301.0","28","5031","4","618.09"
"13302.0","7","5083","1","63.75"
"13304.0","23","5279","1","300.42"
"13305.0","5","4932","10","2000.86"
"13307.0","11","5048","1","15.00"
"13308.0","17","4950","4","1367.61"
"13309.0","2","4935","5","1456.79"
"13310.0","1","4936","6","1083.63"
"13311.0","5","4932","2","598.57"
"13313.0","17","4950","5","1555.32"
"13314.0","8","4929","4","578.66"
"13316.0","2","4965","5","5815.49"
"13317.0","6","4992","9","2140.07"
"13318.0","8","4929","3","640.76"
"13319.0","4","4933","36","10664.34"
"13320.0","30","4998","6","1491.70"
"13321.0","28","5000","2","567.36"
"13322.0","22","4945","1","199.48"
"13323.0","6","4931","5","787.85"
"13324.0","7","4960","12","7072.80"
"13325.0","19","5009","1","675.30"
"13327.0","1","4966","9","3617.57"
"13328.0","27","5244","1","1308.48"
"13329.0","8","4959","4","740.40"
"13330.0","8","5020","3","1140.93"
"13332.0","25","4942","1","350.90"
"13334.0","18","5010","3","3536.82"
"13336.0","23","5005","1","795.12"
"13338.0","8","5082","3","431.82"
